road_code,pk_start,pk_end,length_m,length_km,owner,imd_total,imd_light,imd_heavy,pct_heavy,demand_index,centroid_lat,centroid_lon,imd_total_outlier_flag,spatial_dup_flag
A-31,165.54,166.3,753,0.753,Estado,14075,11964.0,2111.0,15.0,10598.0,38.77167,-0.960718,False,False
A-31,166.3,167.3,991,0.991,Estado,14075,11964.0,2111.0,15.0,13948.0,38.764145,-0.9579,False,False
A-31,167.3,170.3,2998,2.998,Estado,14075,11964.0,2111.0,15.0,42197.0,38.747201,-0.950229,False,False
A-31,170.3,170.83,527,0.527,Estado,26611,22619.0,3992.0,15.0,14024.0,38.733203,-0.941262,False,False
A-31,170.83,172.8,1967,1.967,Estado,26611,22619.0,3992.0,15.0,52344.0,38.723274,-0.935022,False,False
A-31,172.8,172.816,16,0.016,Estado,26611,22619.0,3992.0,15.0,426.0,38.715582,-0.929557,False,False
A-31,172.816,172.98,162,0.162,Estado,27537,23406.0,4131.0,15.0,4461.0,38.714861,-0.92911,False,False
A-31,172.98,181.5,8499,8.499,Estado,27537,23406.0,4131.0,15.0,234037.0,38.683249,-0.901478,False,False
A-35,11.0,11.39,328,0.328,Estado,18383,15626.0,2757.0,15.0,6030.0,38.826709,-0.89317,False,False
A-35,11.39,22.766,11266,11.266,Estado,18383,15626.0,2757.0,15.0,207103.0,38.849141,-0.833365,False,False
A-35,22.766,22.8,34,0.034,Estado,26613,22621.0,3992.0,15.0,905.0,38.870467,-0.774824,False,False
A-35,22.8,25.46,2675,2.675,Estado,26613,22621.0,3992.0,15.0,71190.0,38.87802,-0.763225,False,False
A-35,25.46,32.0,6540,6.54,Estado,26613,22621.0,3992.0,15.0,174049.0,38.896789,-0.718905,False,False
N-301,65.0,68.5,3594,3.594,Estado,1858,1579.0,279.0,15.0,6678.0,39.94439,-3.458259,False,False
N-301,355.57,356.6,807,0.807,Estado,957,813.0,144.0,15.0,772.0,38.233013,-1.378071,False,False
N-301,356.6,357.3,548,0.548,Estado,957,813.0,144.0,15.0,524.0,38.229828,-1.371868,False,False
N-301,357.3,357.6,235,0.235,Estado,957,813.0,144.0,15.0,225.0,38.226613,-1.370043,False,False
N-301,357.6,357.61,8,0.008,Estado,957,813.0,144.0,15.0,8.0,38.225561,-1.369664,False,False
N-301,357.61,359.3,1323,1.323,Estado,957,813.0,144.0,15.0,1266.0,38.221004,-1.365159,False,False
N-322,244.8,245.38,547,0.547,Estado,1240,1054.0,186.0,15.0,678.0,38.501289,-2.706834,False,False
N-322,245.38,246.4,1004,1.004,Estado,1252,1064.0,188.0,15.0,1257.0,38.506437,-2.701009,False,False
N-322,246.4,249.4,2952,2.952,Estado,1252,1064.0,188.0,15.0,3696.0,38.521759,-2.689864,False,False
N-330,217.7,227.9,9460,9.46,Estado,1165,990.0,175.0,15.0,11021.0,39.817666,-1.265963,False,False
N-330,227.9,228.9,928,0.928,Estado,1165,990.0,175.0,15.0,1081.0,39.850691,-1.285156,False,False
N-330,228.9,239.0,9386,9.386,Estado,1165,990.0,175.0,15.0,10935.0,39.877446,-1.32898,False,False
N-330,458.8,458.86,60,0.06,Estado,496,422.0,74.0,15.0,30.0,41.406093,-1.165226,False,False
N-330,458.86,467.9,8975,8.975,Estado,496,422.0,74.0,15.0,4452.0,41.438916,-1.1342,False,False
N-330,469.24,471.1,1826,1.826,Estado,496,422.0,74.0,15.0,906.0,41.478808,-1.079627,False,False
N-344,44.1,44.106,10,0.01,Estado,207,176.0,31.0,15.0,2.0,38.297858,-1.31251,False,False
N-344,46.236,49.4,3146,3.146,Estado,207,176.0,31.0,15.0,651.0,38.326978,-1.29351,False,False
N-430,154.3,154.33,32,0.032,Estado,2035,1730.0,305.0,15.0,65.0,39.111408,-5.327898,False,False
N-430,154.33,166.6,12243,12.243,Estado,2035,1730.0,305.0,15.0,24915.0,39.132327,-5.263906,False,False
N-430,166.6,167.0,361,0.361,Estado,2035,1730.0,305.0,15.0,735.0,39.139416,-5.19706,False,False
N-430,167.0,167.17,155,0.155,Estado,1488,1265.0,223.0,15.0,231.0,39.139256,-5.194084,False,False
N-430,167.17,182.1,13441,13.441,Estado,1488,1265.0,223.0,15.0,20000.0,39.108606,-5.127856,False,False
N-430,182.1,182.4,268,0.268,Estado,1488,1265.0,223.0,15.0,399.0,39.085557,-5.059725,False,False
N-430,182.4,182.64,214,0.214,Estado,2214,1882.0,332.0,15.0,474.0,39.087048,-5.057698,False,False
N-430,182.64,193.1,9442,9.442,Estado,2214,1882.0,332.0,15.0,20905.0,39.096489,-5.008136,False,False
N-430,245.0,245.07,68,0.068,Estado,3481,2959.0,522.0,15.0,237.0,39.017027,-4.494813,False,False
N-430,245.07,265.44,19369,19.369,Estado,3481,2959.0,522.0,15.0,67423.0,39.011967,-4.407962,False,False
N-430,265.44,279.0,13271,13.271,Estado,3481,2959.0,522.0,15.0,46196.0,38.998505,-4.25113,False,False
N-430,279.0,279.1,103,0.103,Estado,3481,2959.0,522.0,15.0,359.0,39.028358,-4.187744,False,False
N-430,279.1,279.17,72,0.072,Estado,3481,2959.0,522.0,15.0,251.0,39.029031,-4.187417,False,False
N-430,279.17,279.8,648,0.648,Estado,3481,2959.0,522.0,15.0,2256.0,39.03127,-4.184397,False,False
