site_key,site_name,operator_name,lat,lon,number_of_connections,total_power_kw,postcode,address,type_of_site,service_facility_type,last_updated
hash::592f9cea72b4e0f6,(Acceso Restringido) General Química,,42.718964,-2.985155,16,29440.0,1213,1213,openSpace,,2026-02-24T23:06:10+00:00
hash::905a43e5208100ec,(PTE REPARACIÓN) CUESTA EL BOLÓN PR5,,41.512016,-5.7484894,8,44000.0,49023,49023,openSpace,,2024-11-29T08:30:55+00:00
hash::7fa723e5fb1aeaf0,(en reparacion) CARRETERA ALDEHUELA 67 (4),,41.506645,-5.728588,8,22000.0,49021,49021,openSpace,,2024-11-05T15:17:16+00:00
hash::7a6a1c6b707f052a,0889000215,,41.39383,2.143078,4,7400.0,8021,8021,openSpace,,2025-04-23T07:35:26+00:00
hash::2026b8ff1f805c2a,0889000315,,41.393845,2.143093,4,7400.0,8021,8021,openSpace,,2025-04-23T07:35:26+00:00
hash::01e48044942d316b,0889000615,,41.393757,2.143087,4,6580.0,8021,8021,openSpace,,2025-04-23T07:35:26+00:00
hash::010e52c0b12bc3e3,0889000915,,41.39386,2.143108,4,7400.0,8021,8021,openSpace,,2025-04-23T07:35:26+00:00
hash::fc11cb6ab5be48af,0889001015,,41.39381,2.153077,4,7400.0,8036,8036,openSpace,,2025-04-23T07:35:26+00:00
hash::1eb9a052b6d46afa,0889001215,,41.393703,2.143059,4,7400.0,8021,8021,openSpace,,2025-04-23T07:35:26+00:00
hash::f6a3cbfcf02d11d5,12004063130001,,41.582535,1.619035,8,42120.0,8700,8700,openSpace,,2025-04-23T07:35:26+00:00
hash::b3d4e723b1ced4db,12004063130002,,41.389606,2.173645,8,29400.0,8010,8010,openSpace,,2025-04-23T07:35:26+00:00
hash::f9acaf3ce5d6772a,12004063130003,,41.38993,2.174523,8,42120.0,8010,8010,openSpace,,2025-04-23T07:35:26+00:00
hash::8e78b0cae3a99100,12004063130004,,41.22214,1.723386,8,44000.0,8800,8800,openSpace,,2025-04-23T07:35:26+00:00
hash::a3fad3849a8f2c6f,12004063130005,,41.561558,2.010205,8,42120.0,8221,8221,openSpace,,2025-04-23T07:35:26+00:00
hash::0bf81a0aaa110b6f,12004063130006,,41.546852,2.109234,8,44000.0,8202,8202,openSpace,,2025-04-23T07:35:26+00:00
hash::37b753c5389e98d9,12004063130007,,41.563034,2.008781,8,42120.0,8221,8221,openSpace,,2025-04-23T07:35:26+00:00
hash::2a3048672e14b033,12004063130008,,41.56349,2.017574,8,42120.0,8221,8221,openSpace,,2025-04-23T07:35:26+00:00
