site_key,lat,lon,number_of_connections,total_power_kw
hash::592f9cea72b4e0f6,42.718964,-2.985155,4,
hash::905a43e5208100ec,41.512016,-5.7484894,2,
hash::7fa723e5fb1aeaf0,41.506645,-5.728588,2,
hash::7a6a1c6b707f052a,41.39383,2.143078,1,
hash::2026b8ff1f805c2a,41.393845,2.143093,1,
hash::01e48044942d316b,41.393757,2.143087,1,
hash::010e52c0b12bc3e3,41.39386,2.143108,1,
hash::fc11cb6ab5be48af,41.39381,2.153077,1,
hash::1eb9a052b6d46afa,41.393703,2.143059,1,
hash::f6a3cbfcf02d11d5,41.582535,1.619035,2,
hash::b3d4e723b1ced4db,41.389606,2.173645,2,
hash::f9acaf3ce5d6772a,41.38993,2.174523,2,
hash::8e78b0cae3a99100,41.22214,1.723386,2,
hash::a3fad3849a8f2c6f,41.561558,2.010205,2,
hash::0bf81a0aaa110b6f,41.546852,2.109234,2,
hash::37b753c5389e98d9,41.563034,2.008781,2,
hash::2a3048672e14b033,41.56349,2.017574,2,
hash::caf8ad8e4b85cccc,42.289085,3.2737,2,
hash::4d48e2e1ce8b3d19,41.981445,2.820441,2,
hash::ea3c331da7bb760a,41.67206,2.79064,2,
hash::e5c2aaa9149a11ca,41.37914,2.169345,2,
hash::81ad464d55af733c,41.3989,2.153663,2,
hash::9d5c2ad79fa3156e,41.390343,2.143518,2,
hash::89657626b2619d84,41.4017,2.1608,2,
hash::035b9d9da1efc467,41.398914,2.153678,2,
hash::203a15bba4e5dd1e,41.37891,2.170142,2,
hash::90d13f1cbc861c0f,41.390644,2.180727,2,
hash::87d4814269f67c75,41.39066,2.180865,2,
hash::b6da263413582802,41.39066,2.180742,2,
hash::c744004a08295610,41.390675,2.180757,2,
hash::5b9ce964f0318543,41.397045,2.1543,1,
hash::38cca4766a806b07,41.397015,2.15429,1,
hash::9b73136c251af6b6,37.13281,-4.696101,3,
hash::9bae9e740772fce4,41.981342,2.8206,1,
hash::ae1a22fc1a51e8f9,41.3447,1.6984,1,
hash::70cdc78f9f962ccd,41.383926,2.142887,1,
hash::d34fdaadef17e9f2,41.981342,2.8206,1,
hash::c36e332365421f49,41.38286,2.142526,1,
hash::02bb291d4912d565,41.3442,1.698942,1,
hash::f8d8580382cb29cf,41.53721,2.444306,1,
hash::9edddedc8e8cf7fe,41.385128,2.176497,1,
hash::34a30b4fc2b6c7a4,41.53723,2.444326,1,
hash::a7c1dc71bc91c31e,41.411705,2.017261,2,
hash::439b8ace66ee6d7e,41.35379,2.072081,2,
hash::efedb82b193eaeb2,41.39437,2.146437,1,
hash::7c4dc73e5359ee10,41.39439,2.146467,1,
hash::f13820208b25e2d2,41.37449,2.142742,1,
hash::de39751f583febba,41.39019,2.14327,1,
hash::7dbefecf34d6c11b,41.39019,2.14327,1,
hash::40bfc3d115802c28,41.374603,2.14268,1,
hash::e9a49bc47978a4f2,42.289,3.2742,1,
hash::b2f08553a59d0426,42.289,3.2742,1,
hash::02f848de20934e67,41.38826,2.128953,1,
hash::a265b0aabac6179c,41.38826,2.128953,1,
hash::ad44e3b55b205ef1,41.401768,2.160826,1,
hash::5a97d0e463eaf0ff,41.401768,2.160826,1,
hash::891a35ffde874ff8,41.672077,2.79067,1,
hash::7a408b2066374234,41.9305,2.254284,1,
hash::8b16c53def56adae,41.9305,2.254284,1,
hash::32024ede746c81dd,41.581615,1.616822,1,
hash::7425a1110def64a3,41.581615,1.616822,1,
hash::62ba7dce3a5ef62d,41.546413,2.104204,1,
hash::26de367c215fe375,41.22231,1.724814,1,
hash::5ea0649c79607d89,41.546413,2.104204,1,
hash::13e2d08e0c999a18,41.987007,2.822127,1,
hash::9f5fa39ec5ee44fc,41.22231,1.724814,1,
hash::ae627332b5f5ab48,41.390675,2.180757,1,
hash::7c57b33b50db0734,41.987076,2.822136,1,
hash::6a992b0c480e1273,41.3907,2.180777,1,
hash::eaa3d1d98b172a51,41.390644,2.180727,1,
hash::2b26bb520240c5ea,41.38959,2.17363,1,
hash::a2b08cda16aa9848,41.38959,2.17363,1,
hash::f2f22b0d0a91625c,42.289,3.2742,1,
hash::99b5d99b9a7a8b29,42.43329,1.926395,1,
hash::047df26d8144d6c4,42.289,3.2742,1,
hash::2b5c86ecf1c86862,42.43329,1.926395,1,
hash::49a943ec3ddcfd4e,41.817577,3.063799,1,
hash::032f31ccfa9b83f8,41.81756,3.063779,1,
hash::1910502fc29c562f,41.672108,2.7907,1,
hash::c4bd3c474a5be068,41.38826,2.128953,1,
hash::5fdcdb69b506d9b9,41.38826,2.128953,1,
hash::fd8125ecfe90deab,41.38826,2.128953,1,
hash::179aefc9bb900423,41.388226,2.128951,1,
hash::0c986d0f9a3655b5,41.38826,2.128953,1,
hash::39a65fff810353d1,41.38826,2.128953,1,
hash::d0a8e8c17a5bcea7,41.38826,2.128953,1,
hash::136f0a80c7a0d604,41.38826,2.128953,1,
hash::f81379ce89929527,41.38826,2.128953,1,
hash::12217e43ff5456eb,41.38826,2.128953,1,
hash::89e72b4952f047eb,41.81763,3.063632,2,
hash::e7fbe0d3a6535e63,41.81763,3.063632,2,
hash::cbb0c31cf395f262,41.81763,3.063632,2,
hash::ea31ee1b08695ddc,41.81763,3.063632,2,
hash::4dc1a37fda3e5cbc,41.53725,2.44433,1,
hash::78fff9b9dce69917,41.537174,2.444283,1,
hash::611fe56a2080b61a,41.39251,2.169999,1,
hash::69f1fc384087317c,41.386456,2.12677,1,
hash::d08e5ace5bdb4f03,41.39251,2.169999,1,
hash::c27e573f435da8a6,41.386456,2.12677,1,
hash::e1d73bdb4d034fc0,41.394405,2.14668,1,
hash::eaa55a97b395f94b,41.394405,2.14668,1,
hash::7bc67c4a119b76b6,41.392635,2.164548,1,
hash::5271657dd1bc72a5,41.3911,2.1659,1,
hash::fbc13115368a75d3,41.39251,2.169999,1,
hash::65185e6852c896a0,41.3911,2.1659,1,
hash::61f4b733f7fe2abb,41.3911,2.1659,1,
hash::9856d33b4d3a6110,41.3911,2.1659,1,
hash::cda2aa452ed0b128,41.391056,2.147744,1,
hash::f7bc32b0c465d214,41.391056,2.147744,1,
hash::244eabd37acd5b34,41.39251,2.169999,1,
hash::57188e0a9d9db5d4,41.3911,2.1659,1,
hash::d1489884428f1740,41.382877,2.142556,1,
hash::4ccbba5962b370c9,41.537174,2.444283,1,
hash::957e2b056a5dc05f,41.537197,2.444293,1,
hash::1e0e4eb3bb801efa,41.391056,2.147744,1,
hash::b20dec94879cd4e4,41.3911,2.1659,1,
hash::e0b307ee6a261e07,41.3911,2.1659,1,
hash::b3cf18da14aa4727,41.391056,2.147744,1,
hash::2c26ff5e492ab1d1,41.38286,2.142526,1,
hash::b8be2042443a9698,41.412132,2.132983,1,
hash::d554989a0b2c36b6,41.412125,2.132973,1,
hash::dc2541c5fd5af3db,41.412113,2.132963,1,
hash::6c3ac41dde95e817,41.412106,2.132953,1,
hash::235de7d5e58c277c,41.412094,2.132943,1,
hash::04fc1796ba3289f0,41.412083,2.132933,1,
hash::6eba8467d2393260,41.39251,2.169999,2,
hash::e54dfe4547e1415f,41.394405,2.14668,2,
hash::88f8f2ff207f6f8f,41.39251,2.169999,2,
hash::a9b790292c7a2216,41.398975,2.153681,1,
hash::c5f4bcbf5c3adf33,41.39384,2.142966,1,
hash::8269e7c5c79a7c7b,41.393757,2.143087,1,
hash::a8abc6019105e38d,41.398945,2.153651,1,
hash::5eca05613cbbc385,41.39251,2.169999,1,
hash::065d214cbec15fb8,41.398888,2.153591,1,
hash::39cbb7b11c712bbd,41.398914,2.153621,1,
hash::37843aaf35d478f0,41.39251,2.169999,1,
hash::e831a89e156b0798,41.394405,2.14668,1,
hash::94fd1c8fe9c42b64,41.38821,2.155091,1,
hash::de4a09bb4d2be2ed,41.34434,1.698899,1,
hash::ffeae0353f1007bc,41.385906,2.170416,1,
hash::f13b07fa8428aedb,41.385906,2.170416,1,
hash::77f576242b048513,41.385906,2.170416,1,
hash::def79b6da0f4d099,41.385906,2.170416,1,
hash::38f0c112df01ecf3,41.34434,1.698899,1,
hash::bb3b6796fcadc056,41.34434,1.698899,1,
hash::84943846961a4ef6,41.34434,1.698899,2,
hash::182df5d6495658a0,41.38781,2.155298,1,
