segment_point_id,latitude,longitude,road_code,route_segment,road_type,provincia,is_highway,km_marker,imd_total,imd_light,imd_heavy,pct_heavy,demand_index,imd_station_dist_km,imd_low_confidence,ev_fleet_province_2027,ev_fleet_point_allocated,ev_penetration_rate_2027,estimated_daily_ev_passages,nearest_charger_dist_km,nearest_charger_power_kw,nearest_charger_connections,nearest_fast_charger_dist_km,coverage_gap_flag,coverage_gap_km,available_capacity_mw,available_capacity_kw,nearest_substation_dist_km,distributor_network,grid_low_confidence,estimated_ev_demand_kw,n_chargers_proposed,grid_load_ratio,grid_status,traffic_weighted_demand,composite_priority_score
A1_0000,41.982337,-3.770645,A-1,A-1,AUTOVÍA,BURGOS,True,0.0,5222,4439.0,783.0,15.0,653.0,35.45,True,6219,353.09,0.3,1331.7,4.91,194000.0,20,4.91,False,0.0,0.12,120.0,68.426,i-DE,True,3995.1,12,33.2925,Congested,1331.7,0.236513
A1_0001,41.483844,-3.696285,A-1,A-1,AUTOVÍA,BURGOS,True,50.0,5222,4439.0,783.0,15.0,6773.0,20.23,True,6219,353.09,0.3,1331.7,7.976,7000.0,4,7.976,False,0.0,4.8,4800.0,73.774,i-DE,True,3995.1,12,0.832312,Congested,1331.7,0.262087
A1_0002,41.858441,-3.733855,A-1,A-1,AUTOVÍA,BURGOS,True,100.0,5222,4439.0,783.0,15.0,653.0,21.52,True,6219,353.09,0.3,1331.7,6.524,143650.0,12,6.524,False,0.0,4.8,4800.0,76.106,i-DE,True,3995.1,12,0.832312,Congested,1331.7,0.262087
A1_0003,41.027943,-3.62214,A-1,A-1,AUTOVÍA,BURGOS,True,150.0,238,202.0,36.0,15.0,88.0,12.3,False,6219,16.09,0.3,60.6,7.856,44000.0,8,7.856,False,0.0,19.51,19510.0,53.236,i-DE,True,181.8,2,0.009318,Sufficient,60.6,0.250392
A1_0004,42.330224,-3.646782,A-1,A-1,AUTOVÍA,BURGOS,True,200.0,1376,1170.0,206.0,15.0,131.0,63.87,True,6219,93.04,0.3,351.0,1.596,300000.0,8,1.596,False,0.0,0.31,310.0,58.198,i-DE,True,1053.0,11,3.396774,Congested,351.0,0.250543
A11_0005,41.556551,-5.611568,A-11,A-11,AUTOVÍA,ZAMORA,True,0.0,252,214.0,38.0,15.0,138.0,34.11,True,7844,17.04,0.3,64.2,8.057,143650.0,12,8.057,False,0.0,64.17,64170.0,10.644,i-DE,False,192.6,2,0.003001,Sufficient,64.2,0.250432
A11_0006,41.591546,-4.597523,A-11,A-11,AUTOVÍA,ZAMORA,True,50.0,13696,11642.0,2054.0,15.0,3301.0,42.89,True,7844,926.07,0.3,3492.6,7.435,14000.0,8,7.435,False,0.0,4.8,4800.0,2.47,i-DE,False,10477.8,12,2.182875,Congested,3492.6,0.282005
A11_0007,41.505839,-5.061333,A-11,A-11,AUTOVÍA,ZAMORA,True,100.0,13696,11642.0,2054.0,15.0,3301.0,5.51,False,7844,926.07,0.3,3492.6,3.653,2100000.0,24,3.653,False,0.0,19.2,19200.0,29.054,i-DE,True,10477.8,12,0.545719,Moderate,3492.6,0.283295
A11_0008,41.598288,-3.361475,A-11,A-11,AUTOVÍA,ZAMORA,True,150.0,191,162.0,29.0,15.0,351.0,8.97,False,7844,12.91,0.3,48.6,13.234,6400.0,8,13.234,False,0.0,4.8,4800.0,100.826,i-DE,True,145.8,2,0.030375,Moderate,48.6,0.250259
A11R_0009,41.636888,-3.781056,A-11R,A-11R,CARRETERA CONVENCIONAL,BURGOS,True,0.0,5222,4439.0,783.0,15.0,6773.0,4.73,False,6219,353.09,0.3,1331.7,5.602,60000.0,8,5.602,False,0.0,4.8,4800.0,66.102,i-DE,True,3995.1,12,0.832312,Congested,1331.7,0.262087
