bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_001,40.561291,-3.255651,A-2,Endesa,1800,Congested
FRIC_002,43.329799,-3.964225,A-8,Viesgo,1800,Congested
FRIC_003,39.010888,-0.562239,A-7,Endesa,1800,Moderate
FRIC_004,41.591546,-4.597523,A-11,i-DE,1800,Moderate
FRIC_005,38.789201,-4.070615,A-41,i-DE,1800,Moderate
FRIC_006,42.052933,-0.032348,A-22,i-DE,1800,Congested
FRIC_007,43.373536,-3.21886,A-8,Viesgo,1800,Congested
FRIC_008,40.635755,-1.310799,A-23,i-DE,300,Moderate
FRIC_009,41.483844,-3.696285,A-1,i-DE,1800,Moderate
FRIC_010,41.592436,-2.521625,A-15,i-DE,1800,Congested
FRIC_011,42.765478,-4.281296,A-67,i-DE,1800,Congested
FRIC_012,39.841724,-3.981243,A-42,i-DE,1800,Moderate
FRIC_013,41.858441,-3.733855,A-1,i-DE,1800,Moderate
FRIC_014,40.588635,-6.778965,A-62,i-DE,1800,Moderate
FRIC_015,41.598288,-3.361475,A-11,i-DE,300,Moderate
FRIC_016,41.740433,0.426686,A-22-R2,Endesa,1800,Congested
FRIC_017,43.383236,-4.561012,A-8,Viesgo,1800,Congested
FRIC_018,42.113145,-4.480718,A-67,i-DE,300,Congested
FRIC_019,43.382366,-5.679464,A-64,Viesgo,1800,Moderate
FRIC_020,42.622293,-1.112937,A-21,i-DE,750,Moderate
FRIC_021,39.898324,-3.472987,A-4,Endesa,1800,Moderate
FRIC_022,42.450176,-4.392189,A-67,i-DE,1800,Congested
FRIC_023,39.926389,-5.192166,A-5,i-DE,1800,Congested
FRIC_024,41.656834,1.11916,A-2,Endesa,1800,Congested
FRIC_025,42.460003,-3.688154,A-73,i-DE,1650,Congested
FRIC_026,40.132495,-0.775164,A-23,i-DE,300,Moderate
FRIC_027,42.14075,-4.106933,A-62,i-DE,1800,Congested
FRIC_028,37.612577,-0.896406,N-345,Viesgo,1800,Moderate
FRIC_029,38.839871,-0.000951,N-332,Viesgo,1800,Moderate
FRIC_030,42.055556,-2.523925,N-111,i-DE,1800,Congested
FRIC_031,40.586258,-0.038918,N-232A,Viesgo,600,Moderate
FRIC_032,40.468638,-4.625866,N-403,i-DE,1800,Congested
FRIC_033,40.918487,0.819963,N-340,Endesa,1800,Congested
FRIC_034,40.813867,-0.607993,N-211,i-DE,600,Moderate
FRIC_035,43.067428,-5.021041,N-625,Viesgo,1800,Moderate
FRIC_036,40.616976,-2.725509,N-204,i-DE,300,Congested
FRIC_037,42.604788,-0.12346,N-260A,i-DE,1800,Congested
FRIC_038,43.464349,-5.127345,N-632,Viesgo,1800,Moderate
FRIC_039,42.324019,0.742115,N-230,i-DE,1800,Congested
FRIC_040,41.270905,0.0503,N-211,i-DE,1800,Congested
FRIC_041,42.93826,-3.730116,N-232,i-DE,1800,Congested
FRIC_042,42.781413,0.690472,N-141,Endesa,1800,Congested
FRIC_043,40.542245,0.438085,N-238,Viesgo,600,Congested
