bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
M2_FRIC_001,37.36825,-6.105999,A-49,Endesa,1800,Moderate
M2_FRIC_002,40.561291,-3.255651,A-2,Endesa,1800,Congested
M2_FRIC_003,36.357219,-6.106151,A-48,Endesa,1800,Moderate
M2_FRIC_004,39.534201,-1.175376,A-3,i-DE,1800,Moderate
M2_FRIC_005,40.073398,-2.293468,A-40,i-DE,1800,Congested
M2_FRIC_006,38.095935,-3.803976,A-4,Endesa,1800,Moderate
M2_FRIC_007,39.516351,-2.220242,A-3,i-DE,1800,Moderate
M2_FRIC_008,38.656496,-3.459561,A-4A,i-DE,1800,Moderate
M2_FRIC_009,38.389938,-6.340617,A-66,i-DE,1800,Moderate
M2_FRIC_010,38.881773,-6.442718,A-5,i-DE,1800,Moderate
M2_FRIC_011,37.238167,-4.540459,A-45,Endesa,1800,Moderate
M2_FRIC_012,41.591546,-4.597523,A-11,i-DE,1800,Moderate
M2_FRIC_013,41.051953,-4.700335,A-6,i-DE,1800,Moderate
M2_FRIC_014,41.505839,-5.061333,A-11,i-DE,1800,Moderate
M2_FRIC_015,38.789201,-4.070615,A-41,i-DE,1800,Moderate
M2_FRIC_016,40.809173,-4.87754,A-50,i-DE,1800,Moderate
M2_FRIC_017,43.373536,-3.21886,A-8,Viesgo,1800,Moderate
M2_FRIC_018,42.450176,-4.392189,A-67,i-DE,1800,Moderate
M2_FRIC_019,39.034542,-6.069144,A-5,i-DE,1800,Moderate
M2_FRIC_020,36.201188,-5.424957,A-7,Endesa,1800,Moderate
M2_FRIC_021,39.984412,-3.116222,A-40,i-DE,1800,Moderate
M2_FRIC_022,41.483844,-3.696285,A-1,i-DE,1800,Moderate
M2_FRIC_023,39.010888,-0.562239,A-7,Endesa,1800,Congested
M2_FRIC_024,39.841724,-3.981243,A-42,i-DE,1800,Moderate
M2_FRIC_025,41.858441,-3.733855,A-1,i-DE,1800,Moderate
M2_FRIC_026,42.14075,-4.106933,A-62,i-DE,1800,Moderate
M2_FRIC_027,38.920469,-6.960597,A-5,i-DE,1800,Moderate
M2_FRIC_028,40.588635,-6.778965,A-62,i-DE,1800,Moderate
M2_FRIC_029,41.598288,-3.361475,A-11,i-DE,300,Moderate
M2_FRIC_030,40.641239,-5.631077,A-66,i-DE,1800,Moderate
M2_FRIC_031,38.91447,-1.6374,A-31,Viesgo,1800,Congested
M2_FRIC_032,39.695231,-5.699038,A-5,i-DE,1800,Moderate
M2_FRIC_033,42.439142,-2.537421,A-12,i-DE,1800,Congested
M2_FRIC_034,41.366555,-5.716314,A-66,i-DE,300,Moderate
M2_FRIC_035,40.149269,-6.037652,A-66,i-DE,1800,Moderate
M2_FRIC_036,40.667059,-6.43403,A-62,i-DE,1800,Moderate
M2_FRIC_037,37.579954,-4.994644,A-4,Endesa,1650,Moderate
M2_FRIC_038,40.386376,-5.795822,A-66,i-DE,1800,Moderate
M2_FRIC_039,42.622293,-1.112937,A-21,i-DE,750,Moderate
M2_FRIC_040,37.510283,-5.354705,A-4,Endesa,1650,Moderate
M2_FRIC_041,37.249293,-7.340108,A-49,Endesa,1350,Moderate
M2_FRIC_042,39.898324,-3.472987,A-4,Endesa,1800,Moderate
M2_FRIC_043,39.926389,-5.192166,A-5,i-DE,1800,Congested
M2_FRIC_044,42.460003,-3.688154,A-73,i-DE,1650,Congested
M2_FRIC_045,39.523982,-3.522632,A-4,Endesa,1800,Moderate
M2_FRIC_046,39.140947,-2.04464,A-31,Viesgo,1800,Congested
M2_FRIC_047,37.90495,-4.624121,A-4,Endesa,1650,Moderate
M2_FRIC_048,37.456421,-6.804349,N-435A,Endesa,1800,Moderate
M2_FRIC_049,37.612577,-0.896406,N-345,Viesgo,1800,Moderate
M2_FRIC_050,39.080346,-3.224593,N-310,i-DE,1800,Moderate
M2_FRIC_051,39.429783,-6.830117,N-521,i-DE,1800,Moderate
M2_FRIC_052,37.071056,-5.848942,N-4,Endesa,1800,Moderate
M2_FRIC_053,38.846825,-4.79295,N-502,i-DE,1200,Moderate
M2_FRIC_054,38.839871,-0.000951,N-332,Viesgo,1800,Moderate
M2_FRIC_055,39.032784,-3.693573,N-430,i-DE,1800,Moderate
M2_FRIC_056,42.055556,-2.523925,N-111,i-DE,1800,Congested
M2_FRIC_057,38.500536,-4.37491,N-420,i-DE,1800,Moderate
M2_FRIC_058,40.468638,-4.625866,N-403,i-DE,1800,Congested
M2_FRIC_059,38.256232,-4.978474,N-502,i-DE,300,Moderate
M2_FRIC_060,37.974313,-7.102157,N-433,Endesa,1350,Moderate
M2_FRIC_061,40.616976,-2.725509,N-204,i-DE,300,Congested
M2_FRIC_062,37.705101,-6.299656,N-433,Endesa,1050,Moderate
M2_FRIC_063,39.104769,-5.1201,N-430,i-DE,1800,Moderate
M2_FRIC_064,38.273739,-5.816552,N-432,Endesa,300,Moderate
M2_FRIC_065,39.276588,-1.551151,N-322,i-DE,1800,Moderate
M2_FRIC_066,36.748584,-6.067705,N-346,Endesa,1800,Moderate
M2_FRIC_067,42.781413,0.690472,N-141,Endesa,1800,Congested
M2_FRIC_068,41.852634,-1.682689,N-122,i-DE,600,Congested
M2_FRIC_069,42.669249,-2.999036,N-1,i-DE,1650,Congested
M2_FRIC_070,39.248359,-2.628756,N-310,i-DE,1050,Moderate
M2_FRIC_071,37.599983,-4.306639,N-432A,Endesa,1800,Moderate
M2_FRIC_072,38.139248,-6.694268,N-435,Endesa,1350,Moderate
