bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_001,40.901349,-5.185182,N-501A,i-DE,750,Moderate
FRIC_002,41.598288,-3.361475,A-11,i-DE,300,Moderate
FRIC_003,38.293067,-5.653135,N-432,Endesa,300,Moderate
FRIC_004,38.184772,-5.008168,N-502A,Endesa,300,Moderate
FRIC_005,40.149269,-6.037652,A-66,i-DE,1800,Moderate
FRIC_006,40.429326,-5.697863,A-66,i-DE,1800,Moderate
FRIC_007,37.569796,-6.103262,N-630,i-DE,1050,Moderate
FRIC_008,39.760784,-5.733082,A-5,i-DE,1800,Moderate
FRIC_009,39.396887,-5.888854,N-5A,i-DE,1800,Moderate
FRIC_010,38.846825,-4.79295,N-502,i-DE,1200,Moderate
FRIC_011,38.154241,-6.28141,A-66,i-DE,1350,Moderate
FRIC_012,37.588594,-4.672422,A-45,Endesa,1650,Moderate
FRIC_013,37.90495,-4.624121,A-4,Endesa,1650,Moderate
FRIC_014,37.510283,-5.354705,A-4,Endesa,1650,Moderate
FRIC_015,39.523982,-3.522632,A-4,Endesa,1800,Moderate
FRIC_016,42.783566,-0.522001,N-330B,i-DE,750,Moderate
FRIC_017,42.622293,-1.112937,N-240R,i-DE,750,Moderate
FRIC_018,39.870178,-3.301278,N-301,i-DE,1800,Moderate
FRIC_019,38.500536,-4.37491,N-420,i-DE,1800,Moderate
FRIC_020,39.104769,-5.1201,N-430,i-DE,1800,Moderate
FRIC_021,38.74102,-4.073589,N-420,i-DE,1800,Moderate
FRIC_022,37.974313,-7.102157,N-433,Endesa,1350,Moderate
FRIC_023,37.295204,-7.216444,N-444,Endesa,1350,Moderate
FRIC_024,38.139248,-6.694268,N-435,Endesa,1350,Moderate
FRIC_025,39.564484,-2.074612,N-3,i-DE,1800,Moderate
FRIC_026,39.276588,-1.551151,N-322,i-DE,1800,Moderate
FRIC_027,38.649084,-6.817875,N-435,Endesa,1800,Moderate
FRIC_028,41.982337,-3.770645,A-1,i-DE,1800,Congested
FRIC_029,41.483844,-3.696285,A-1,i-DE,1800,Congested
FRIC_030,41.858441,-3.733855,A-1,i-DE,1800,Congested
FRIC_031,41.591546,-4.597523,A-11,i-DE,1800,Congested
FRIC_032,41.505839,-5.061333,A-11,i-DE,1800,Congested
FRIC_033,41.636888,-3.781056,A-11R,i-DE,1800,Congested
FRIC_034,42.439142,-2.537421,A-12,i-DE,1800,Congested
FRIC_035,42.484015,-2.418951,A-13,i-DE,1800,Congested
FRIC_036,40.561291,-3.255651,A-2,Endesa,1800,Congested
FRIC_037,41.614555,-0.698959,A-2,Endesa,1800,Congested
