bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
M3_FRIC_001,40.901349,-5.185182,N-501A,i-DE,750,Moderate
M3_FRIC_002,41.598288,-3.361475,A-11,i-DE,300,Moderate
M3_FRIC_003,38.293067,-5.653135,N-432,Endesa,300,Moderate
M3_FRIC_004,38.184772,-5.008168,N-502A,Endesa,300,Moderate
M3_FRIC_005,40.149269,-6.037652,A-66,i-DE,1800,Moderate
M3_FRIC_006,40.429326,-5.697863,A-66,i-DE,1800,Moderate
M3_FRIC_007,37.569796,-6.103262,N-630,i-DE,1050,Moderate
M3_FRIC_008,39.760784,-5.733082,A-5,i-DE,1800,Moderate
M3_FRIC_009,39.396887,-5.888854,N-5A,i-DE,1800,Moderate
M3_FRIC_010,38.846825,-4.79295,N-502,i-DE,1200,Moderate
M3_FRIC_011,38.154241,-6.28141,A-66,i-DE,1350,Moderate
M3_FRIC_012,37.588594,-4.672422,A-45,Endesa,1650,Moderate
M3_FRIC_013,37.90495,-4.624121,A-4,Endesa,1650,Moderate
M3_FRIC_014,37.510283,-5.354705,A-4,Endesa,1650,Moderate
M3_FRIC_015,39.523982,-3.522632,A-4,Endesa,1800,Moderate
M3_FRIC_016,42.783566,-0.522001,N-330B,i-DE,750,Moderate
M3_FRIC_017,42.622293,-1.112937,N-240R,i-DE,750,Moderate
M3_FRIC_018,39.870178,-3.301278,N-301,i-DE,1800,Moderate
M3_FRIC_019,38.500536,-4.37491,N-420,i-DE,1800,Moderate
M3_FRIC_020,39.104769,-5.1201,N-430,i-DE,1800,Moderate
M3_FRIC_021,38.74102,-4.073589,N-420,i-DE,1800,Moderate
M3_FRIC_022,37.974313,-7.102157,N-433,Endesa,1350,Moderate
M3_FRIC_023,37.295204,-7.216444,N-444,Endesa,1350,Moderate
M3_FRIC_024,38.139248,-6.694268,N-435,Endesa,1350,Moderate
M3_FRIC_025,39.564484,-2.074612,N-3,i-DE,1800,Moderate
M3_FRIC_026,39.276588,-1.551151,N-322,i-DE,1800,Moderate
M3_FRIC_027,38.649084,-6.817875,N-435,Endesa,1800,Moderate
M3_EXCL_001,41.982337,-3.770645,A-1,i-DE,1800,Congested
M3_EXCL_002,41.483844,-3.696285,A-1,i-DE,1800,Congested
M3_EXCL_003,41.858441,-3.733855,A-1,i-DE,1800,Congested
M3_EXCL_004,41.591546,-4.597523,A-11,i-DE,1800,Congested
M3_EXCL_005,41.505839,-5.061333,A-11,i-DE,1800,Congested
M3_EXCL_006,41.636888,-3.781056,A-11R,i-DE,1800,Congested
M3_EXCL_007,42.439142,-2.537421,A-12,i-DE,1800,Congested
M3_EXCL_008,42.484015,-2.418951,A-13,i-DE,1800,Congested
M3_EXCL_009,40.561291,-3.255651,A-2,Endesa,1800,Congested
M3_EXCL_010,41.614555,-0.698959,A-2,Endesa,1800,Congested
M3_EXCL_011,39.785819,-0.395901,A-23,i-DE,1800,Congested
M3_EXCL_012,39.683552,-0.32512,A-23,i-DE,1800,Congested
M3_EXCL_013,39.95829,-0.627628,A-23,i-DE,1800,Congested
M3_EXCL_014,39.923672,-0.572914,A-23,i-DE,1800,Congested
M3_EXCL_015,42.214973,2.657554,A-26,Endesa,1800,Moderate
M3_EXCL_016,41.126306,1.229256,A-27,Endesa,1800,Congested
M3_EXCL_017,39.601955,-2.284121,A-3,i-DE,1800,Congested
M3_EXCL_018,40.347213,-3.544948,A-3,i-DE,1800,Congested
